Movie,title,review
Pirates of the Caribbean: At World's End (2007),I enjoyed this movie,"This third installment is just as long, fixes some of the damages but adds along new ones. At Worlds End improves on its CGI magic but still possesses that dragging story that is just too long and confusing.
65 out of 75 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),"Best out of the ""pirates"" trilogy...I'm not disappointed!","I'm a huge fan of the Piates of the Caribbean movies, but I was a little nervous about seeing this third installment because of the not as good other third installments. I still had pretty high expectations, and I was not disappointed! The plot was brilliant and very creative, with plenty of exciting twists and turns. As always, the acting was incredible. Johnny Depp always does an amazing job, but his Captain Jack Sparrow is probably one of his bests works yet! I still don't see how anyone could be so brilliant... Anyways, overall, just a really great film. Better than the other Pirate films in the trilogy (and you know how good those are!) See it, you won't be disappointed!
74 out of 94 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),"Good conclusion to the series, same problems as the 2nd","AWE was a decent close to the trilogy (although they did leave it open for the possibility of a 4th).

Lets go down the list: 1) Holy cow. The CGI is breathtaking. The details on the sets is just as breathtaking. The filming sites were beautiful. These are a talented group of folks I tell ya. GREAT job.

2) Acting .. both good and bad. Sparrow, Barbossa, Beckett, Norrington, Jones, and Gibbs provided some very good acting and funny moments. However, they were offset by Pintel and Ragetti (they got annoying in the 2nd film and it didn't stop here. While I enjoyed the idea of Tia Dalma's character, I wasn't impressed with the performance by beautiful Miss Harris. I haven't especially liked Keira all that much in other things she has done and it was the same here. Decent actress but not overly impressive. Stellan's portrayal of Bill Turner was decent enough but a notch down from what we KNOW he can do. Now the best for last. Im a 100% hetero male and even I can say that Orlando Bloom is a VERY good looking guy. But for the love of pete, this guy is one of the most terrible actors ever and strangely, he was cast in two of the biggest, most profitable trilogies ever. He has essentially played the same character in every movie, just with different costumes. His mannerisms, his low ""sexy"" voice, his facial expressions .. ALLLL the same, all the time. Sooo blahhhhhhh.

3) The story was good but there was too much of it. It has been said here but I will say it again. At one point, I just stopped trying to follow along and just enjoyed it. Everyone stabbed everyone else in the back at least once. It wasn't ""hard to follow"" but a movie like this isn't supposed to make you think. You want that, go see .... Clue :P the whole Singapore thing was just unneeded. While it did add a new element to the film, it just seemed too forced.

4) Running time was a tad bit long but it passed fairly quickly due to the great action sequences.

All in all .. I was impressed with the movie, but it has its problems. Much like part 2.

I say go and see it. You wont be disappointed but you wont walk out thinking you just saw a masterpiece either.

Just my thoughts ..."
Pirates of the Caribbean: At World's End (2007),At World's End,spoiler warning
Pirates of the Caribbean: At World's End (2007),Great film lives up to expectations.,"This movie is truly spectacular!!! Non stop action, with a surprising ending. If it weren't for the silliness of the Jack Sparrow clones, I would give it a 9 and 1/2. It takes a little away from the film's momentum. As far as the final battle rivaling that of the LOTR trilogy, I would say no. This trilogy will go down as one of the great trilogies. Breathtaking special effects, and fabulous scenery. All in all, a great film. It must be viewed in the theater. It is better than Dead Man's Chest, but I still like the overall story line of Curse of the Blach Pearl better. As always, be sure to stick around after the credits for an extra scene. This one adds to the plot of the film and gives viewers some closure after a heart wrenching finale. Make sure you check this film out.
66 out of 92 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),"I wanted to like it, but...","It was very disappointing.

I adored the first movie to pieces. I own the DVD and regularly play it on movie nights with my friends. It's great unexpected fun, quotable, and a visual spectacle. The characters are surprisingly likable, and Depp comes roaring in like a breath of fresh air as Capt. Jack.

The problem with the third movie (as well as the second) is that it lost touch with it's roots. The first movie, while heavy with the supernatural stuff, was still pretty grounded in a fairly accurate real world. The characters were over the top, yes, but still believable, and above all, relatable. Their motives and predicaments all made a great deal of sense (i.e. Elizabeth wanting to marry Will, Barbossa wanting to be free of the curse, Jack simply wanting to get a boat so he could live his life of freedom). Unfortunately, in the new movies, the writers have lost touch with the first movie's charm. The plots are so convoluted it's difficult to decipher, much less remember, a character's desires and motives. It's much less emotionally grounded. It has also become so thick into this supernatural fantasy land that it has hardly any link to the real world at all. This would not have been a problem were the filmmakers not so intent on special effects and visual spectacles that they forgot to tell a good, solid story.

I believe this movie would have been better if the writers had kept to a more straightforward plot and toned down much of the ""grand spectacle"" stuff which really dominated the movies."
Pirates of the Caribbean: At World's End (2007),robbed by pirates :(,spoiler warning
Pirates of the Caribbean: At World's End (2007),Not bad,"Less than a year after the previous installment of the popular pirates trilogy, Jack Sparrow and company return in Pirates of the Caribbean: At World's End. The film should be great, given a three hundred million dollar budget, huge anticipation, and the closure a third installment inevitably brings to a series. While this film does show its budget and is quite visually arresting, it lacks a fair share of resolution to the trilogy and confuses with its overflowing exposition rather than purely existing to entertain.

Even in an action packed pirate movie, overly chatty sequences will simply bore audiences just because it's too hard to follow what exactly is being said. The movie really just had too many vague or unnecessary plot points that didn't affect the main plot at hand.

All the acting was perfectly fine, with Johnny Depp as Captain Jack Sparrow and Geoffrey Rush as Captain Barbosa unsurprisingly being the standouts. The introduction of Depp's character in the pirate equivalent of Hell called Davy Jones' Locker is a particular favorite, as well as the scenes at World's End, which somehow involves a giant, deep waterfall. Keith Richards' hyped cameo as Jack's father is nothing to go crazy for, he does a decent job, but his screen time lasts only about two minutes.

Director Gore Verbinski and his crew knew going into this that the reviews would be mixed and the plot would be confusing (in order to encourage repeat viewings), but honestly, at nearly three hours, the more the film confuses you the more it becomes an endurance test. Also, rather than providing a satisfying conclusion to the series, the end opens up the possibility for a fourth installment, which might not even happen. The crew put every penny of the film's budget on screen, made evident in the hour or so of its bloated climax. The film looks and feels like a true epic, shots are wide, locations are vast, costumes are extravagant, and the scope is large. However, the film needs to scale down its plot in order to let the characters we fell in love with stand out and shine, as that's what makes these films unique."
Pirates of the Caribbean: At World's End (2007),"Not a big fan of other 2, but loved this one",spoiler warning
Pirates of the Caribbean: At World's End (2007),Nobody move! I've dropped me brain!,spoiler warning
Pirates of the Caribbean: At World's End (2007),"Despite its many flaws, the movie still left me hungry for more.","The Pirates of the Caribbean-movie serials is probably one I'll never grow tired off. The characters are fun and great, always adventurous and spectacular to watch.

It's really too bad that this time they felt the need to make things even bigger, more complex and conclusive than the previous two movies. Really not needed. In my opinion the first movie ""Pirates of the Caribbean: The Curse of the Black Pearl"" is still the best because of the reason that it's simple, fun and choices to be purely entertaining. They already went wrong with this approach during the second movie; ""Pirates of the Caribbean: Dead Man's Chest"", when they put in more new characters and different hard to follow plot lines. ""Pirates of the Caribbean: At World's End"" goes on in the same trend as the previous movie. There are more new characters and as far as the new many plot-lines are concerned...well let me just say that after a while I just gave up trying to understand the movie and just let the movie take me away with its visuals, humor and other entertaining elements. And this movie regardless should really be able to take you away on a roller-coaster-ride of pure entertainment.

No doubt in my mind that this movie could had become the best one out of the series. It had all the potential and budget for that, now if they had only cut down about halve of the script...Most of the plot-lines seem redundant and are actually far from believable because they contradict from what happened in the first two movies. The many betrayals among characters and side-picking became really confusing after a while, till it reached a point when you just didn't knew who was fighting for what. But like I said before, after a while you just stop caring about it and simply enjoy the movie for what it brings you. It all is also the reason why the movie is now nearly 3 hours long. Now the movie is not as good and entertaining as the first but maybe just slightly better than the second one, because of the large scale of this movie.

The movie is definitely big. There is no lack of action as some people claim there is. There is just as much action as there is in the first two movies, only difference this time is that the movie is nearly 3 hours long and therefor the movie also has some more talking-sequences and slower moments in it.

The movie is also big with its musical score by Hans Zimmer and he actually succeeded in composing a new great theme for the movie. In its action moments the movie gets definitely uplifted by its musical score.

The action sequences are definitely well constructed and at times pure eye candy. So are the special effects, although I feel that the second movie was still better on that. It seems like they tried to overdo things this time and I'm mainly talking about the end battle, when it comes down to its special effects, by putting in some complex shots. No matter how good CGI is these days, you still see that it's CGI.

Most roles get extended in this movie. Marty, Tia Dalma and even Jack the monkey and Cotton's parrot. But of course the movie still remains the Jack Sparrow-show. Really one of the best characters in recent years, all thanks to Johnny Depp, who provide the movie with its biggest laughs and most hilarious absurd moments. He still plays the character as good and fresh as he did for the first time 4 years ago. You can't just ever grow tired of Jack Sparrow. I was also very pleased to see Geoffrey Rush back as Barbossa. His role was bigger which allowed Geoffrey Rush to shine even more. Bill Nighy was also as good as always as Davy Jones. Orlando Bloom's and Keira Knightley's acting also has really improved over the years. I was actually surprised to see how much of the movie Keira Knightley carries this time and how well she does this. Even in the sequences with Geoffrey Rush she does. She also gets to do more interesting in the movie when it comes done to action. In a way she has taken over the Will (Orlando Bloom) role in this movie this time and Will himself gets pushed more to the background this time compared to the first two movies, which really shouldn't bother most people, unless you're a teenage-girl of course. She handles both the action- and comical sequences really well. And even Keith Richards shows up in an already classic cameo as Jack's father. But some role also got narrowed down to my regret, such as Jonathan Pryce's and Jack Davenport's and lets not forget the Kraken.

Still, I really wouldn't mind seeing more Pirates of the Caribbean movies in the future, if needed with new actors and characters, as long as Johnny Depp stays as Jack Sparrow. The serials still have more than enough potential and haven't dried up yet.

8/10

http://bobafett1138.blogspot.com/"
Pirates of the Caribbean: At World's End (2007),Pirates 3 Out of this World!,"Do not listen to the stingy critics!! This movie is AMAZING! Everything you hoped for and more. I can't wait to see it again. The fact that it is a long movie makes it all the better for the viewer because you get more of all the adventure, romance and breathtaking scenes. The writing is incredible, the acting is the best it has been since the beginning, and the artistry is second-to-none. There is no fluff, every scene means something. It's funny, intriguing and keeps you on the edge of your seat. My heart didn't stop pounding until long after the credits ended. It's the kind of movie that stays with you. It's satisfying IF this is the last Pirates, and it leaves you wanting more IF we are to be blessed with a fourth. Bottom line is: go see this movie, and have a great time doing it!
53 out of 80 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),An Action Packed Piratey Adventure...,spoiler warning
Pirates of the Caribbean: At World's End (2007),Re-watch ability,"Overall, its a movie, pure entertainment. I loved it, it was fun to watch. I could sit here and delve into the plot and stuff but i would rather just take it as it is. And what it is:A funny action comedy with Johnny Depp appearing as the most memorable character of our time. If that wasn't enough then the screenplay is ""complicated"" for a reason, you can watch it over and over and it does not get old because you gain something else from it every time you re watch it.

The writers, director, and score all hit their mark in this one. The movie could last 3 more hours for all I care. All this movie does it make you want more.
43 out of 66 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Give this movie a chance!,spoiler warning
